"CP","Năm","Kỳ","DebtEquity","CurrentRatio","QuickRatio","GrossMargin","NetMargin","CashFlow_to_Profit","CashFlow_to_Debt","SellingExpense_Ratio","debt_to_asset","EBIT_to_Interest","AssetTurnover","ROA","ROE"
"ITD","2018","2","0.49182844280709","2.9335554009804","2.3384652958268","1.716639612763","0.035021128467358","8.1337796762296","0.1645031234728","-0.1289067967372","0.32968163677162","-53.751663527643","0.15864218542367","0.0055558283560648","0.0082883427649316"
"ITD","2018","3","0.38767578671156","3.5161999867296","2.8522997441527","1.6642832041321","0.095174478190295","0.78198275095776","0.063437978312668","-0.10578692792601","0.27937057807303","-48.986444000185","0.19283798633605","0.018353254724801","0.025468367188956"
"ITD","2018","4","0.47740680477502","2.9430315549968","2.4247917651927","1.686529042974","0.077554626498681","-2.7913742445773","-0.22457736789182","-0.13005863603123","0.32313835514499","-96.794212033005","0.28461010021086","0.022072830019606","0.032610549271608"
"ITD","2019","1","0.43599653872423","2.9039093037763","2.5248941373697","1.8399685438592","0.046770858017745","2.0081183206016","0.11264802379216","-0.09461629436221","0.30361949138929","7.1772878458517","0.32813318600076","0.015347070653352","0.022038340337769"
"ITD","2019","2","0.36040635127936","3.1366663063343","2.6359128669534","1.7321213147949","0.01660551535828","-7.2603708388138","-0.068882922394843","-0.17575891926468","0.26492551357205","1.4609085635769","0.13859577741717","0.0023014543104936","0.0031309130611748"
"ITD","2019","3","0.5885167746305","2.3041232759675","1.8415825753896","1.6859272129944","0.0021053464536477","9.7098587922259","0.0061464511785876","-0.19789439408284","0.37048193889384","-0.9900463599747","0.10621320243429","0.0002236155890756","0.00035521711431547"
"ITD","2019","4","0.65333271647494","2.1573028905687","1.6953760801053","1.7519168646549","0.049041129526179","1.1751979305196","0.040493293824208","-0.0990461838679","0.39516106465728","-19.086098996137","0.26559198388262","0.013024930882703","0.021534544358197"
"ITD","2020","1","0.583935403575","2.3175788178139","1.8838718370599","1.6388982009939","0.069637331902804","-1.7626139986447","-0.08477635914096","-0.068947725580465","0.36866112232673","-34.480779503974","0.24224543561597","0.016869325801929","0.026719922372116"
"ITD","2020","2","0.68139755879215","2.1315539007954","1.6927088232644","1.7091029569135","0.021487329936178","4.1088062672888","0.027950494610584","-0.14391437937796","0.40525665999042","-4.7774024611218","0.12296831949109","0.0026422608526025","0.0044426909472579"
"ITD","2020","3","0.77399682121325","1.9696784988359","1.3854091113485","1.8022253675872","0.011615787293743","-3.7712981233751","-0.025054357779501","-0.088234044445717","0.43630113197379","-7.3213090457358","0.24064840397795","0.0027953206731865","0.0049588899885046"
"ITD","2020","4","0.86161329869559","1.8475490068372","1.377735305638","1.7275508498489","0.08763241822116","0.31505940234116","0.020834207328874","-0.053381443081884","0.46283151248399","-22.418781781067","0.33853632021352","0.029666756396004","0.055228028235964"
"ITD","2021","1","0.74867585004157","2.0573810867463","1.7114821147448","1.7068893087943","0.078484115499478","0.73698688163847","0.044827482999322","-0.08861459994937","0.42813872566706","-7.5505106563303","0.31719033062598","0.024894402544167","0.043532240530198"
"ITD","2021","2","0.62308162259228","2.2767329458717","1.7815826514404","1.7009867856841","0.022940809849683","10.255397933208","0.082865697772829","-0.14797863552967","0.38388803983692","-3.256885117415","0.12816930947048","0.0029403077571276","0.0047723594853593"
"ITD","2021","3","0.59768487805319","2.3261755311053","1.7579968436053","1.7954891957457","-0.23682524892309","-6.1238307615192","0.32455625044472","-0.25243734049173","0.374094345051","4.0902384346586","0.079642714813639","-0.018861405760651","-0.030134582762617"
"ITD","2021","4","0.78091706078769","2.0159001826798","1.7030104234079","1.7652215709177","0.071757709307842","-3.2267083904669","-0.11171591336335","-0.10002780770533","0.438491537861","-20.969543311023","0.20412638742827","0.014647641971138","0.02608623548671"
"ITD","2022","1","0.60585394282396","2.4435259303146","2.1466608466508","1.7124964342571","0.21455091246126","-0.15855035639802","-0.018910629888642","-0.090496458313779","0.37727836054538","-31.25190195543","0.2020164859271","0.043342821387877","0.069602240618836"
"ITD","2022","2","0.52266140363319","2.6431648401123","2.0906307401331","1.8982773884215","-0.023974803644761","-7.2022939384734","0.16993182602657","-0.055373290034457","0.34325517307136","-1.3825283856036","0.32286837080784","-0.0077407057932218","-0.011786473948219"
"ITD","2022","3","0.63736665143062","1.9954872894443","1.6472449895863","1.8965961111602","0.020208128063037","1.5563652352702","0.041701581265686","-0.033861043524495","0.38926324221501","-11.879759938483","0.49889021167074","0.010081637286838","0.016507336685288"
"ITD","2022","4","0.67242096881584","1.9494819304188","1.751990053295","1.8424519322766","0.042462357911246","2.2972730107259","0.095106365414625","-0.041900766647234","0.40206442119172","-4.706638108015","0.38024874473674","0.016146258294314","0.027003340939327"
"ITD","2023","1","0.58152221682391","2.1161646642774","1.8763381962794","1.6539199428599","-0.074655138156693","-3.7716699926304","0.13758380183221","-0.093443101339368","0.36769778548653","-1.1320642659914","0.17236898743065","-0.012868230570565","-0.020351392538561"
"ITD","2023","2","0.51172012979623","2.2861950985571","2.0254561088294","1.665686267572","-0.078384791884313","2.945817747654","-0.098569038238923","-0.15690791611584","0.3385018957611","1.1872978077911","0.13788344861592","-0.010807965424051","-0.016338618893679"
"ITD","2023","3","0.43736768897187","2.5249568912741","2.2385281580118","1.6267416083661","-0.038346072564067","-8.5693948509872","0.15828136434603","-0.13999883649071","0.30428379065952","-1.5149665167471","0.13959862565973","-0.0053530590293922","-0.0076943140860074"
"ITD","2023","4","0.73416888971457","1.8077453870033","1.6033775597594","1.835766657619","-0.22694969097768","0.30353330654121","-0.056404079679635","-0.050426309766925","0.42335489586335","23.664209697873","0.33653432222996","-0.076376360433474","-0.13244950817336"
